"","ModelName","Type","Accuracy"
"1","Building 1.5198.1","elect","100%"
"2","Building 2.5199.1","elect","100%"
"3","Building 3.5286.1","elect","100%"
"4","Building 4.5288.1","elect","NA"
"5","Building 5.5290.1","elect","100%"
"6","Building 6.5304.1","elect","100%"
"7","Building 7.5306.1","elect","100%"
"8","Building 8.5308.1","elect","100%"
"9","Building 5.5310.1","elect","100%"
"10","Building 10.5311.1","elect","100%"
"11","Building 11.5313.1","elect","100%"
"12","Building 12.5314.1","elect","100%"
"13","Building 13.5316.1","elect","99.737532808399%"
"14","Building 14.5317.1","elect","100%"
"15","Building 14.5318.1","elect","100%"
"16","Building 15.5322.1","elect","100%"
"17","Building 15.5323.1","elect","100%"
"18","Building 16.5325.1","elect","100%"
"19","Building 17.5329.1","elect","100%"
"20","Building 18.5332.1","elect","100%"
"21","Building 19.5333.1","elect","100%"
"22","Building 20.5335.1","elect","100%"
"23","Building 21.5340.1","elect","100%"
"24","Building 22.5351.1","elect","100%"
"25","Building 23.5352.1","elect","100%"
"26","Building 24.5355.1","elect","99.8538011695906%"
"27","Building 25.5356.1","elect","100%"
"28","Building 26.5357.1","elect","100%"
"29","Building 26.5358.1","elect","100%"
"30","Building 28.28096.1","elect","100%"
"31","Building 30.28161.1","elect","100%"
"32","Building 30.28162.1","elect","100%"
"33","Building 29.28168.1","elect","100%"
"34","Building 31.30602.1","elect","100%"
"35","Building 13.75689.1","Dist_Heating","100%"
"36","Building 8.75690.1","Dist_Heating","100%"
"37","Building 25.75691.1","Dist_Heating","100%"
"38","Building 5.75692.1","Dist_Heating","100%"
"39","Building 17.75693.1","Dist_Heating","100%"
"40","Building 15.75694.1","Dist_Heating","100%"
"41","Building 23.75696.1","Dist_Heating","100%"
"42","Building 24.75697.1","Dist_Heating","100%"
"43","Building 24.75698.1","Dist_Heating","100%"
"44","Building 7.75699.1","Dist_Heating","100%"
"45","Building 10.75700.1","Dist_Heating","100%"
"46","Building 10.75701.1","Dist_Heating","100%"
"47","Building 14.75702.1","Dist_Heating","100%"
"48","Building 14.75703.1","Dist_Heating","100%"
"49","Building 5.75704.1","Dist_Heating","100%"
"50","Building 20.75705.1","Dist_Heating","100%"
"51","Building 5.75706.1","Dist_Heating","100%"
"52","Building 21.75707.1","Dist_Heating","100%"
"53","Building 6.75708.1","Dist_Heating","100%"
"54","Building 6.75709.1","Dist_Heating","100%"
"55","Building 4.75710.1","Dist_Heating","100%"
"56","Building 4.75711.1","Dist_Heating","100%"
"57","Building 12.75712.1","Dist_Heating","100%"
"58","Building 12.75713.1","Dist_Heating","100%"
"59","Building 4.75714.1","Dist_Heating","100%"
"60","Building 4.75715.1","Dist_Heating","100%"
"61","Building 26.75716.1","Dist_Heating","100%"
"62","Building 26.75717.1","Dist_Heating","100%"
"63","Building 33.75718.1","Dist_Heating","100%"
"64","Building 15.75719.1","Dist_Heating","100%"
"65","Building 18.75720.1","Dist_Heating","100%"
"66","Building 16.75721.1","Dist_Heating","100%"
"67","Building 27.81909.1","elect","100%"
"68","Building 9.82254.1","Dist_Heating","100%"
"69","Building 9.83427.1","elect","100%"
"70","Building 9.84681.1","elect","100%"
"71","Building 23.75696.2","Dist_Heating","100%"
"72","Building 26.77662.2","elect","100%"
"73","Building 5.5290.3","elect","NA"
"74","Building 6.5304.3","elect","100%"
"75","Building 29.28108.3","elect","100%"
"76","Building 28.28096.4","Dist_Heating","100%"
"77","Building 29.28168.4","Dist_Heating","100%"
"78","Building 5.5290.8","elect","NA"
